customer_id,segment,region,industry,cohort,arr_eur,churned,nps_score,support_tickets_6m,last_login_days_ago
C2000,SMB,AMER,Public Sector,2022-Q1,14000.0,False,7,12,170
C2001,SMB,APAC,Professional Services,2023-Q4,14000.0,True,3,8,205
C2002,SMB,APAC,Healthcare,2022-Q2,7000.0,False,0,1,161
C2003,Mid-Market,AMER,Public Sector,2022-Q1,31000.0,False,10,13,77
C2004,SMB,EMEA,Professional Services,2023-Q2,9000.0,False,6,2,42
C2005,Mid-Market,EMEA,Healthcare,2023-Q3,36000.0,False,6,7,97
C2006,SMB,APAC,Healthcare,2022-Q1,9000.0,False,8,12,49
C2007,SMB,APAC,Healthcare,2022-Q4,14000.0,True,1,12,117
C2008,Mid-Market,EMEA,Manufacturing,2023-Q2,40000.0,False,5,1,30
C2009,Mid-Market,APAC,Professional Services,2023-Q2,43000.0,False,8,13,158
C2010,Mid-Market,APAC,Education,2023-Q4,42000.0,False,6,3,104
C2011,SMB,EMEA,Education,2022-Q1,9000.0,False,6,11,38
C2012,Enterprise,AMER,Manufacturing,2023-Q1,117000.0,False,4,8,75
C2013,SMB,APAC,Healthcare,2023-Q2,14000.0,False,10,4,12
C2014,SMB,AMER,Manufacturing,2022-Q2,13000.0,False,7,6,14
C2015,Enterprise,APAC,Public Sector,2023-Q1,131000.0,False,0,13,80
C2016,SMB,EMEA,Education,2023-Q1,11000.0,False,5,4,136
C2017,Mid-Market,AMER,Education,2022-Q4,43000.0,False,3,11,134
C2018,Enterprise,APAC,Manufacturing,2022-Q3,91000.0,False,2,4,162
C2019,Mid-Market,APAC,Public Sector,2022-Q2,41000.0,False,6,2,149
C2020,Enterprise,APAC,Public Sector,2023-Q2,136000.0,False,0,4,103
C2021,Mid-Market,APAC,Education,2023-Q1,69000.0,True,3,2,66
C2022,Mid-Market,EMEA,Professional Services,2023-Q2,48000.0,False,5,13,149
C2023,Enterprise,AMER,Professional Services,2023-Q3,162000.0,False,4,12,82
C2024,Enterprise,APAC,Education,2023-Q4,74000.0,False,10,3,117
C2025,Mid-Market,EMEA,Professional Services,2022-Q4,49000.0,False,3,4,42
C2026,SMB,EMEA,Professional Services,2022-Q1,9000.0,True,8,11,107
C2027,Mid-Market,AMER,Manufacturing,2022-Q2,44000.0,True,6,5,259
C2028,Mid-Market,EMEA,Healthcare,2022-Q1,42000.0,False,2,0,87
C2029,SMB,APAC,Healthcare,2023-Q1,4000.0,False,3,14,135
C2030,SMB,AMER,Healthcare,2022-Q3,13000.0,False,9,0,136
C2031,SMB,AMER,Education,2022-Q1,11000.0,True,1,3,199
C2032,Mid-Market,APAC,Professional Services,2022-Q2,59000.0,False,1,14,17
C2033,SMB,AMER,Healthcare,2023-Q3,5000.0,False,1,13,172
C2034,Enterprise,EMEA,Healthcare,2023-Q2,139000.0,False,6,8,175
C2035,Mid-Market,AMER,Healthcare,2023-Q1,61000.0,False,8,12,13
C2036,Enterprise,APAC,Manufacturing,2023-Q1,86000.0,True,1,6,147
C2037,Mid-Market,APAC,Education,2023-Q2,55000.0,False,2,13,39
C2038,SMB,AMER,Public Sector,2022-Q1,12000.0,False,9,11,5
C2039,SMB,EMEA,Manufacturing,2022-Q4,9000.0,False,9,10,66
C2040,Mid-Market,AMER,Professional Services,2023-Q1,62000.0,False,9,5,12
C2041,SMB,AMER,Manufacturing,2023-Q2,14000.0,True,6,4,245
C2042,Mid-Market,APAC,Professional Services,2023-Q1,57000.0,False,5,4,54
C2043,SMB,EMEA,Professional Services,2023-Q1,14000.0,False,2,6,132
C2044,Enterprise,EMEA,Manufacturing,2023-Q4,102000.0,False,2,5,152
C2045,Mid-Market,APAC,Public Sector,2023-Q2,58000.0,False,0,1,63
C2046,Mid-Market,AMER,Education,2022-Q3,49000.0,False,8,0,145
C2047,SMB,APAC,Public Sector,2022-Q4,14000.0,True,10,9,120
C2048,SMB,APAC,Education,2022-Q3,13000.0,True,0,2,304
C2049,Enterprise,EMEA,Professional Services,2022-Q3,141000.0,False,0,4,100
C2050,Enterprise,AMER,Public Sector,2022-Q4,122000.0,False,3,5,174
C2051,SMB,AMER,Healthcare,2022-Q4,10000.0,True,7,6,222
C2052,Mid-Market,APAC,Professional Services,2023-Q2,32000.0,False,5,8,70
C2053,Enterprise,APAC,Professional Services,2023-Q1,142000.0,False,10,7,148
C2054,Enterprise,EMEA,Professional Services,2023-Q4,77000.0,False,8,4,82
C2055,Enterprise,EMEA,Public Sector,2023-Q3,119000.0,False,8,0,178
C2056,SMB,EMEA,Public Sector,2023-Q3,10000.0,False,6,7,61
C2057,Mid-Market,AMER,Professional Services,2022-Q4,44000.0,False,5,0,74
C2058,Enterprise,AMER,Manufacturing,2022-Q2,164000.0,False,9,12,167
C2059,Mid-Market,APAC,Public Sector,2023-Q4,45000.0,False,2,6,21
C2060,Enterprise,EMEA,Healthcare,2023-Q3,109000.0,False,7,11,14
