lead_id,created_date,segment,region,source,industry,became_opportunity,opportunity_date,closed_won,close_date,deal_value_eur,sales_rep
L1000,2024-10-16,Mid-Market,APAC,Partner,Manufacturing,True,2024-11-13,True,2025-02-08,28000.0,Rep_3
L1001,2023-04-15,Mid-Market,EMEA,Event,Manufacturing,False,,False,,,Rep_9
L1002,2023-03-31,Enterprise,AMER,Event,Healthcare,False,,False,,,Rep_1
L1003,2023-01-31,SMB,AMER,Event,Healthcare,True,2023-02-12,False,2023-03-20,,Rep_9
L1004,2023-07-23,Enterprise,AMER,Outbound,Education,False,,False,,,Rep_12
L1005,2024-07-12,Mid-Market,EMEA,Partner,Manufacturing,False,,False,,,Rep_8
L1006,2024-08-26,Mid-Market,APAC,Outbound,Manufacturing,False,,False,,,Rep_1
L1007,2023-06-13,Mid-Market,EMEA,Partner,Education,False,,False,,,Rep_6
L1008,2023-10-12,SMB,EMEA,Inbound,Professional Services,False,,False,,,Rep_6
L1009,2023-04-15,SMB,AMER,Outbound,Professional Services,True,2023-04-23,False,2023-08-19,,Rep_10
L1010,2023-09-28,Mid-Market,EMEA,Outbound,Healthcare,False,,False,,,Rep_12
L1011,2024-04-15,Mid-Market,APAC,Event,Education,False,,False,,,Rep_7
L1012,2023-03-22,SMB,APAC,Outbound,Public Sector,False,,False,,,Rep_11
L1013,2024-09-25,Mid-Market,AMER,Outbound,Professional Services,False,,False,,,Rep_6
L1014,2024-08-14,SMB,EMEA,Partner,Professional Services,False,,False,,,Rep_2
L1015,2023-02-16,SMB,AMER,Outbound,Healthcare,False,,False,,,Rep_5
L1016,2023-03-23,SMB,APAC,Event,Healthcare,False,,False,,,Rep_2
L1017,2024-01-25,Enterprise,EMEA,Event,Education,True,2024-02-19,False,2024-04-30,,Rep_6
L1018,2023-12-30,Mid-Market,EMEA,Event,Professional Services,True,2024-01-12,False,2024-02-29,,Rep_10
L1019,2024-10-12,SMB,EMEA,Inbound,Education,False,,False,,,Rep_12
L1020,2023-09-08,SMB,EMEA,Inbound,Public Sector,False,,False,,,Rep_7
L1021,2023-10-04,SMB,APAC,Partner,Manufacturing,False,,False,,,Rep_11
L1022,2024-12-05,SMB,APAC,Partner,Public Sector,False,,False,,,Rep_11
L1023,2023-11-29,SMB,AMER,Partner,Professional Services,False,,False,,,Rep_1
L1024,2023-08-23,Enterprise,APAC,Inbound,Healthcare,False,,False,,,Rep_6
L1025,2024-02-15,Mid-Market,APAC,Partner,Education,True,2024-02-26,False,2024-08-19,,Rep_12
L1026,2023-11-19,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_8
L1027,2024-02-10,Mid-Market,EMEA,Partner,Manufacturing,False,,False,,,Rep_11
L1028,2024-04-14,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_3
L1029,2023-09-10,Mid-Market,APAC,Outbound,Professional Services,False,,False,,,Rep_9
L1030,2023-09-27,Mid-Market,APAC,Partner,Public Sector,False,,False,,,Rep_7
L1031,2024-08-20,Mid-Market,AMER,Inbound,Education,False,,False,,,Rep_4
L1032,2023-05-22,Mid-Market,EMEA,Event,Education,False,,False,,,Rep_2
L1033,2023-02-18,Enterprise,APAC,Partner,Healthcare,False,,False,,,Rep_3
L1034,2024-10-04,SMB,EMEA,Outbound,Public Sector,False,,False,,,Rep_11
L1035,2024-03-08,Enterprise,AMER,Outbound,Manufacturing,False,,False,,,Rep_7
L1036,2024-01-26,Mid-Market,APAC,Event,Public Sector,False,,False,,,Rep_8
L1037,2024-06-25,Mid-Market,EMEA,Inbound,Public Sector,True,2024-07-17,False,2024-08-18,,Rep_11
L1038,2023-04-28,SMB,EMEA,Event,Education,False,,False,,,Rep_9
L1039,2023-10-01,SMB,APAC,Outbound,Manufacturing,False,,False,,,Rep_6
L1040,2023-04-25,Mid-Market,EMEA,Inbound,Manufacturing,False,,False,,,Rep_3
L1041,2024-04-09,Mid-Market,APAC,Partner,Public Sector,True,2024-05-07,False,2024-08-12,,Rep_9
L1042,2023-07-02,Mid-Market,AMER,Inbound,Professional Services,False,,False,,,Rep_2
L1043,2024-10-02,SMB,AMER,Partner,Professional Services,False,,False,,,Rep_11
L1044,2024-06-03,SMB,EMEA,Inbound,Public Sector,False,,False,,,Rep_3
L1045,2024-01-18,Mid-Market,AMER,Outbound,Healthcare,False,,False,,,Rep_9
L1046,2024-06-27,Enterprise,EMEA,Event,Public Sector,False,,False,,,Rep_10
L1047,2023-11-28,SMB,AMER,Outbound,Education,False,,False,,,Rep_2
L1048,2024-01-07,Mid-Market,AMER,Event,Healthcare,False,,False,,,Rep_5
L1049,2023-09-03,Enterprise,APAC,Inbound,Education,True,2023-09-26,False,2023-11-16,,Rep_12
